date,home,away,gh,ga,result,home_gf_avg,away_gf_avg,home_ga_avg,away_ga_avg,goal_diff_avg
2024-07-17 01:00:00+00:00,Club Queretaro,Guadalajara Chivas,0,2,2,1.0,2.0,2.0,4.0,1.0
2024-07-17 01:00:00+00:00,CF Pachuca,Atletico San Luis,2,0,1,0.0,2.0,1.0,2.0,-1.0
2024-07-17 01:00:00+00:00,Atlas,Santos Laguna,1,0,1,1.0,0.0,1.0,1.0,1.0
2024-07-17 03:00:00+00:00,Puebla,Leon,2,2,0,1.0,1.0,0.0,4.0,4.0
2024-07-17 03:05:00+00:00,Cruz Azul,Club Tijuana,3,0,1,1.0,2.0,0.0,1.0,0.0
2024-07-18 01:00:00+00:00,Necaxa,Monterrey,0,1,2,4.0,1.0,1.0,0.0,2.0
2024-07-18 01:06:00+00:00,FC Juarez,U.N.A.M. - Pumas,1,2,2,2.0,1.0,2.0,1.0,0.0
2024-07-18 03:00:00+00:00,Tigres UANL,Club America,1,0,1,1.0,1.0,0.0,2.0,2.0
2024-07-18 03:00:00+00:00,Toluca,Mazatlán,3,0,1,3.0,0.0,2.0,1.0,2.0
2024-07-20 01:00:00+00:00,Atletico San Luis,Club Tijuana,1,1,0,2.0,1.0,1.0,2.0,2.0
2024-07-20 03:05:00+00:00,Puebla,Atlas,1,2,2,1.5,2.0,1.0,2.0,0.5
2024-07-20 23:05:00+00:00,Guadalajara Chivas,Mazatlán,2,0,1,0.0,0.0,0.0,2.0,2.0
2024-07-21 01:00:00+00:00,Santos Laguna,Tigres UANL,0,3,2,1.0,1.0,1.0,1.0,0.0
2024-07-21 01:00:00+00:00,Monterrey,Club Queretaro,2,1,1,0.0,1.0,4.0,3.0,-2.0
2024-07-21 03:05:00+00:00,Cruz Azul,Toluca,1,1,0,2.0,0.0,0.0,0.0,2.0
2024-07-21 03:10:00+00:00,FC Juarez,Club America,1,2,2,1.5,0.5,2.0,1.5,0.5
2024-07-21 23:00:00+00:00,U.N.A.M. - Pumas,CF Pachuca,2,0,1,4.0,0.0,1.0,0.0,3.0
2024-07-22 01:05:00+00:00,Leon,Necaxa,1,1,0,0.0,0.0,0.0,1.0,1.0
2024-08-17 01:00:00+00:00,Puebla,Monterrey,1,2,2,1.3333333333333333,1.0,1.3333333333333333,0.0,-1.0
2024-08-19 00:05:00+00:00,Club Tijuana,Santos Laguna,3,1,1,4.0,0.0,2.0,1.0,3.0
2024-08-19 02:00:00+00:00,Atletico San Luis,Club Queretaro,4,0,1,1.5,1.0,1.0,2.5,2.0
2024-08-24 01:00:00+00:00,Club Queretaro,Cruz Azul,0,2,2,0.5,4.0,2.0,0.0,-5.5
2024-08-24 02:00:00+00:00,Mazatlán,CF Pachuca,3,0,1,2.0,0.0,2.0,1.0,1.0
2024-08-24 03:05:00+00:00,Club Tijuana,Monterrey,2,2,0,3.5,1.3333333333333333,1.5,0.3333333333333333,1.0
2024-08-24 23:00:00+00:00,Necaxa,FC Juarez,3,0,1,2.0,2.0,1.0,3.0,2.0
2024-08-25 01:00:00+00:00,Tigres UANL,Guadalajara Chivas,1,1,0,1.0,2.0,0.0,2.0,1.0
2024-08-25 01:00:00+00:00,Atlas,U.N.A.M. - Pumas,2,1,1,1.0,1.5,0.5,1.0,0.0
2024-08-25 01:00:00+00:00,Leon,Santos Laguna,1,1,0,0.5,0.3333333333333333,0.5,1.6666666666666667,1.3333333333333335
2024-08-25 03:05:00+00:00,Club America,Puebla,0,1,2,3.0,1.0,1.0,4.0,5.0
2024-08-25 18:00:00+00:00,Toluca,Atletico San Luis,2,1,1,3.0,1.0,1.0,2.0,3.0
2024-08-31 01:00:00+00:00,Atletico San Luis,Atlas,2,1,1,2.3333333333333335,2.0,0.6666666666666666,1.5,1.166666666666667
2024-08-31 02:00:00+00:00,Mazatlán,Puebla,1,1,0,2.5,1.0,1.0,2.0,2.5
2024-08-31 03:05:00+00:00,Club Tijuana,Leon,2,1,1,3.0,1.5,1.6666666666666667,3.0,2.833333333333333
2024-08-31 23:00:00+00:00,CF Pachuca,Club Queretaro,1,1,0,1.0,0.6666666666666666,0.5,3.0,2.8333333333333335
2024-08-31 23:05:00+00:00,Guadalajara Chivas,FC Juarez,5,0,1,1.0,1.0,0.0,3.0,3.0
2024-09-01 01:00:00+00:00,Monterrey,Toluca,1,2,2,1.0,0.5,2.5,0.5,-1.5
2024-09-01 03:10:00+00:00,Cruz Azul,Club America,4,1,1,1.6666666666666667,1.0,0.3333333333333333,1.3333333333333333,1.6666666666666667
2024-09-01 23:00:00+00:00,U.N.A.M. - Pumas,Tigres UANL,1,3,2,3.0,2.0,0.5,0.5,1.0
2024-09-02 01:05:00+00:00,Santos Laguna,Necaxa,3,2,1,0.5,0.5,2.0,1.0,-1.0
2024-09-14 00:00:00+00:00,Puebla,Club Queretaro,2,1,1,1.25,0.75,1.5,2.5,1.5
2024-09-14 01:00:00+00:00,Atlas,CF Pachuca,2,0,1,1.3333333333333333,0.0,0.6666666666666666,1.6666666666666667,2.3333333333333335
2024-09-14 02:10:00+00:00,Tigres UANL,Atletico San Luis,1,0,1,1.0,1.0,0.3333333333333333,2.0,1.6666666666666667
2024-09-14 02:10:00+00:00,FC Juarez,Mazatlán,1,0,1,1.3333333333333333,0.0,2.0,2.0,1.3333333333333333
2024-09-14 03:00:00+00:00,Necaxa,U.N.A.M. - Pumas,2,0,1,2.3333333333333335,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.666666666666667
